seed,alpha,error,prop_dim,cw_coverage_lo_1,cw_coverage_hi_1,mv_coverage_1,volume_1
12.0,0.4,0.22679674855713347,5.0,0.49238,0.9966919999999999,0.7693000000000001,6.1343824414700755e-93
12.0,0.45,0.22679674855713347,5.0,0.50768,0.9973439999999999,0.798,1.4356103547769744e-92
12.0,0.5,0.22679674855713347,5.0,0.52166,0.9978840000000001,0.8218,3.396235162135406e-92
12.0,0.55,0.22679674855713347,5.0,0.5344000000000001,0.998328,0.8446999999999999,7.883867873934224e-92
12.0,0.6,0.22679674855713347,5.0,0.55006,0.9987199999999999,0.8664999999999999,1.9257121194098886e-91
12.0,0.65,0.22679674855713347,5.0,0.56308,0.9989600000000001,0.8858,4.241887296393324e-91
12.0,0.7,0.22679674855713347,5.0,0.57814,0.999192,0.9039,1.0094945948906759e-90
12.0,0.75,0.22679674855713347,5.0,0.59422,0.9993840000000002,0.9228000000000001,2.6250735146166707e-90
12.0,0.8,0.22679674855713347,5.0,0.61086,0.9995360000000002,0.94,7.2435407711118145e-90
12.0,0.85,0.22679674855713347,5.0,0.62852,0.9996759999999999,0.9557,2.0474135084168777e-89
12.0,0.9,0.22679674855713347,5.0,0.6524199999999999,0.9997759999999998,0.9708999999999999,7.756787470654634e-89
12.0,0.95,0.22679674855713347,5.0,0.6819799999999999,0.9998999999999998,0.9829000000000001,4.6996180019630985e-88
12.0,0.4,0.22679674855713347,10.0,0.62244,0.999965,0.8913,2.14215534311384e-43
12.0,0.45,0.22679674855713347,10.0,0.6317200000000001,0.9999760000000001,0.9072,2.9240145805935265e-43
12.0,0.5,0.22679674855713347,10.0,0.6407099999999999,0.999978,0.9216000000000001,3.931312446848016e-43
12.0,0.55,0.22679674855713347,10.0,0.64948,0.9999819999999999,0.9346,5.263657271905654e-43
12.0,0.6,0.22679674855713347,10.0,0.6583600000000001,0.9999849999999999,0.9448999999999999,7.078032212888615e-43
12.0,0.65,0.22679674855713347,10.0,0.66723,0.9999859999999998,0.9525,9.433534018721279e-43
12.0,0.7,0.22679674855713347,10.0,0.6765399999999999,0.9999909999999999,0.9613999999999999,1.2925503494626267e-42
12.0,0.75,0.22679674855713347,10.0,0.6854699999999999,0.9999959999999999,0.9686,1.775977993098978e-42
12.0,0.8,0.22679674855713347,10.0,0.69564,0.9999979999999999,0.9744999999999999,2.506443332560413e-42
12.0,0.85,0.22679674855713347,10.0,0.7076500000000001,0.9999979999999999,0.9808999999999999,3.758674124894526e-42
12.0,0.9,0.22679674855713347,10.0,0.7221299999999999,0.999999,0.9869999999999999,6.25679698906696e-42
12.0,0.95,0.22679674855713347,10.0,0.7418600000000001,0.999999,0.9909999999999999,1.2686565518423166e-41
12.0,0.4,0.22679674855713347,15.0,0.6297600000000001,0.9999977777777779,0.9363999999999999,1.9874863756160456e-27
12.0,0.45,0.22679674855713347,15.0,0.6369666666666667,0.9999977777777779,0.9459999999999998,2.3330966485039956e-27
12.0,0.5,0.22679674855713347,15.0,0.6446333333333334,0.9999977777777779,0.9543999999999998,2.761330245966861e-27
12.0,0.55,0.22679674855713347,15.0,0.65208,0.9999982222222222,0.9600999999999998,3.254864269253897e-27
12.0,0.6,0.22679674855713347,15.0,0.6593933333333333,0.9999991111111111,0.9662000000000001,3.844266548506996e-27
12.0,0.65,0.22679674855713347,15.0,0.6661733333333334,0.9999991111111111,0.971,4.4994080772185424e-27
12.0,0.7,0.22679674855713347,15.0,0.6745199999999998,0.9999991111111111,0.9762,5.409065732737533e-27
12.0,0.75,0.22679674855713347,15.0,0.6828333333333334,0.9999999999999999,0.9808000000000001,6.501820300566778e-27
12.0,0.8,0.22679674855713347,15.0,0.6917399999999999,0.9999999999999999,0.985,7.932779559976786e-27
12.0,0.85,0.22679674855713347,15.0,0.7022066666666668,0.9999999999999999,0.9881,9.984071464116581e-27
12.0,0.9,0.22679674855713347,15.0,0.7137666666666668,0.9999999999999999,0.9911999999999999,1.2974215615197164e-26
12.0,0.95,0.22679674855713347,15.0,0.7318133333333332,0.9999999999999999,0.995,1.969880731798447e-26
12.0,0.4,0.22679674855713347,20.0,0.6635049999999999,0.9999999999999999,0.9571999999999999,1.4275722224172085e-19
12.0,0.45,0.22679674855713347,20.0,0.6690750000000001,0.9999999999999999,0.9624,1.5751762157472783e-19
12.0,0.5,0.22679674855713347,20.0,0.675,0.9999999999999999,0.9683,1.7498183025228334e-19
12.0,0.55,0.22679674855713347,20.0,0.681375,0.9999999999999999,0.9725,1.9421345338497158e-19
12.0,0.6,0.22679674855713347,20.0,0.6879649999999999,0.9999999999999999,0.9764999999999999,2.163053193477511e-19
12.0,0.65,0.22679674855713347,20.0,0.6939450000000001,0.9999999999999999,0.9796999999999999,2.400216460190306e-19
12.0,0.7,0.22679674855713347,20.0,0.6999849999999999,0.9999999999999999,0.9829000000000001,2.6721162450510743e-19
12.0,0.75,0.22679674855713347,20.0,0.7066749999999999,0.9999999999999999,0.986,2.9920077382492605e-19
12.0,0.8,0.22679674855713347,20.0,0.71437,0.9999999999999999,0.9883,3.426043692224126e-19
12.0,0.85,0.22679674855713347,20.0,0.7225349999999999,0.9999999999999999,0.9908999999999999,3.953870182995236e-19
12.0,0.9,0.22679674855713347,20.0,0.7325950000000001,0.9999999999999999,0.9927,4.750597764706667e-19
12.0,0.95,0.22679674855713347,20.0,0.7472049999999999,0.9999999999999999,0.9949000000000001,6.154557437241024e-19
12.0,0.4,0.22679674855713347,25.0,0.695168,0.9999999999999999,0.9648,6.0453254207232474e-15
12.0,0.45,0.22679674855713347,25.0,0.7007599999999998,0.9999999999999999,0.9683999999999999,6.520695292391352e-15
12.0,0.5,0.22679674855713347,25.0,0.7059920000000001,0.9999999999999999,0.9722,7.011722693901063e-15
12.0,0.55,0.22679674855713347,25.0,0.711296,0.9999999999999999,0.9754,7.541841708184176e-15
12.0,0.6,0.22679674855713347,25.0,0.716444,0.9999999999999999,0.9791000000000001,8.10891471800825e-15
12.0,0.65,0.22679674855713347,25.0,0.7217560000000001,0.9999999999999999,0.9815999999999998,8.730347030587212e-15
12.0,0.7,0.22679674855713347,25.0,0.7277440000000001,0.9999999999999999,0.9849000000000001,9.486945654086898e-15
12.0,0.75,0.22679674855713347,25.0,0.733792,0.9999999999999999,0.9885999999999998,1.0320539231685007e-14
12.0,0.8,0.22679674855713347,25.0,0.740236,0.9999999999999999,0.9903,1.129024131645856e-14
12.0,0.85,0.22679674855713347,25.0,0.747908,0.9999999999999999,0.9922999999999998,1.2540807064368973e-14
12.0,0.9,0.22679674855713347,25.0,0.7573079999999999,0.9999999999999999,0.9947000000000003,1.4314003279748426e-14
12.0,0.95,0.22679674855713347,25.0,0.770892,0.9999999999999999,0.9962000000000001,1.7320570837463434e-14
12.0,0.4,0.22679674855713347,30.0,0.68334,0.9999999999999999,0.9721,6.726546686191578e-12
12.0,0.45,0.22679674855713347,30.0,0.6882366666666666,0.9999999999999999,0.9761000000000001,7.127194898558881e-12
12.0,0.5,0.22679674855713347,30.0,0.6930933333333333,0.9999999999999999,0.9786999999999999,7.526761056198804e-12
12.0,0.55,0.22679674855713347,30.0,0.69825,0.9999999999999999,0.9801,7.975063257390412e-12
12.0,0.6,0.22679674855713347,30.0,0.7030266666666667,0.9999999999999999,0.9824999999999999,8.432223295535907e-12
12.0,0.65,0.22679674855713347,30.0,0.7078866666666668,0.9999999999999999,0.9843,8.934916076875955e-12
12.0,0.7,0.22679674855713347,30.0,0.7134466666666666,0.9999999999999999,0.9856999999999999,9.512462101510436e-12
12.0,0.75,0.22679674855713347,30.0,0.7186666666666667,0.9999999999999999,0.9881,1.0095397059592527e-11
12.0,0.8,0.22679674855713347,30.0,0.7243466666666667,0.9999999999999999,0.9901999999999999,1.0782888229720728e-11
12.0,0.85,0.22679674855713347,30.0,0.7323866666666666,0.9999999999999999,0.9922,1.1795335478356345e-11
12.0,0.9,0.22679674855713347,30.0,0.7413466666666666,0.9999999999999999,0.9946,1.3094344757432522e-11
12.0,0.95,0.22679674855713347,30.0,0.75381,0.9999999999999999,0.9968000000000001,1.5113589185896232e-11
12.0,0.4,0.22679674855713347,35.0,0.6974971428571428,0.9999999999999999,0.9743000000000002,9.562383983524677e-10
12.0,0.45,0.22679674855713347,35.0,0.7019599999999999,0.9999999999999999,0.9768,9.992310808034735e-10
12.0,0.5,0.22679674855713347,35.0,0.706637142857143,0.9999999999999999,0.9791,1.0456006168850395e-9
12.0,0.55,0.22679674855713347,35.0,0.7111314285714285,0.9999999999999999,0.9815999999999999,1.0927610606259735e-9
12.0,0.6,0.22679674855713347,35.0,0.7157685714285715,0.9999999999999999,0.9826,1.1454704917133083e-9
12.0,0.65,0.22679674855713347,35.0,0.7197571428571428,0.9999999999999999,0.9851000000000001,1.1948415516149455e-9
12.0,0.7,0.22679674855713347,35.0,0.7249857142857142,0.9999999999999999,0.9873000000000001,1.257873379558871e-9
12.0,0.75,0.22679674855713347,35.0,0.72992,0.9999999999999999,0.9892,1.3232724128952751e-9
12.0,0.8,0.22679674855713347,35.0,0.7351,0.9999999999999999,0.9905999999999998,1.3927571314997435e-9
12.0,0.85,0.22679674855713347,35.0,0.7408885714285715,0.9999999999999999,0.9924999999999999,1.479899164575658e-9
12.0,0.9,0.22679674855713347,35.0,0.7485942857142857,0.9999999999999999,0.9946000000000002,1.5975698478109962e-9
