seed,alpha,error,prop_dim,cw_coverage_lo_0,cw_coverage_hi_0,mv_coverage_0,volume_0,cw_coverage_lo_1,cw_coverage_hi_1,mv_coverage_1,volume_1
12.0,0.4,0.2245835585564247,5.0,1.0,1.0,0.383,0.7858781292757456,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.3263107485328272e-78
12.0,0.4,0.2245835585564247,10.0,1.0,1.0,0.383,0.7858781292757456,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.1478721007851795e-37
12.0,0.4,0.2245835585564247,15.0,1.0,1.0,0.383,0.7858781292757456,0.9999999999999999,0.9999999999999999,0.9994999999999999,5.037646641972177e-24
12.0,0.4,0.2245835585564247,20.0,1.0,1.0,0.383,0.7858781292757456,0.9999999999999999,0.9999999999999999,0.9986999999999999,3.3288026289917556e-17
12.0,0.4,0.2245835585564247,25.0,1.0,1.0,0.383,0.7858781292757456,0.9999999999999999,0.9999999999999999,0.9959,4.0135257849501093e-13
12.0,0.4,0.2245835585564247,30.0,1.0,1.0,0.383,0.7858781292757456,0.9999999999999999,0.9999999999999999,0.9950000000000002,2.122283332710145e-10
12.0,0.4,0.2245835585564247,35.0,1.0,1.0,0.383,0.7858781292757456,0.9999971428571428,0.9999999999999999,0.9882000000000001,1.858971085579632e-8
12.0,0.4,0.2245835585564247,40.0,1.0,1.0,0.383,0.7858781292757456,0.9999749999999998,0.9999999999999999,0.9798999999999999,5.278284720424691e-7
12.0,0.4,0.2245835585564247,45.0,1.0,1.0,0.383,0.7858781292757456,0.9999911111111109,0.9999999999999999,0.9656999999999999,7.109439914187627e-6
12.0,0.4,0.2245835585564247,50.0,1.0,1.0,0.383,0.7858781292757456,0.9999779999999999,0.9999999999999999,0.9490000000000001,5.614089950809713e-5
12.0,0.4,0.2245835585564247,55.0,1.0,1.0,0.383,0.7858781292757456,0.9999654545454545,0.9999999999999999,0.9327000000000001,0.0003055229744717083
12.0,0.4,0.2245835585564247,60.0,1.0,1.0,0.383,0.7858781292757456,0.999895,0.9999999999999999,0.9035,0.0012328255687761697
12.0,0.4,0.2245835585564247,65.0,1.0,1.0,0.383,0.7858781292757456,0.9998692307692307,0.9999999999999999,0.8707999999999999,0.004009079700674047
12.0,0.4,0.2245835585564247,70.0,1.0,1.0,0.383,0.7858781292757456,0.9995642857142858,0.9999999999999999,0.8243,0.011043872034274769
12.0,0.4,0.2245835585564247,75.0,1.0,1.0,0.383,0.7858781292757456,0.999184,0.9999999999999999,0.7758,0.026410474399620347
12.0,0.4,0.2245835585564247,80.0,1.0,1.0,0.383,0.7858781292757456,0.9977912500000001,0.9999999999999999,0.6994,0.055717811768790024
12.0,0.4,0.2245835585564247,85.0,1.0,1.0,0.383,0.7858781292757456,0.9939141176470587,0.9999999999999999,0.6304000000000001,0.10760393221119337
12.0,0.4,0.2245835585564247,90.0,1.0,1.0,0.383,0.7858781292757456,0.9740811111111111,0.9999999999999999,0.5487,0.19080419635718227
12.0,0.4,0.2245835585564247,95.0,1.0,1.0,0.383,0.7858781292757456,0.8952178947368421,0.9999999999999999,0.4599,0.3124151017243993
12.0,0.4,0.2245835585564247,100.0,1.0,1.0,0.383,0.7858781292757456,0.491503,0.9999999999999999,0.383,0.4734646854455823
12.0,0.45,0.2245835585564247,5.0,1.0,1.0,0.422,0.7998912755103705,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.874740438067307e-78
12.0,0.45,0.2245835585564247,10.0,1.0,1.0,0.422,0.7998912755103705,0.9999999999999999,0.9999999999999999,0.9998999999999999,1.3865289441313304e-37
12.0,0.45,0.2245835585564247,15.0,1.0,1.0,0.422,0.7998912755103705,0.9999999999999999,0.9999999999999999,0.9997999999999999,5.681137116737086e-24
12.0,0.45,0.2245835585564247,20.0,1.0,1.0,0.422,0.7998912755103705,0.9999999999999999,0.9999999999999999,0.9992,3.6188385643449204e-17
12.0,0.45,0.2245835585564247,25.0,1.0,1.0,0.422,0.7998912755103705,0.9999999999999999,0.9999999999999999,0.998,4.3279603015878965e-13
12.0,0.45,0.2245835585564247,30.0,1.0,1.0,0.422,0.7998912755103705,0.9999999999999999,0.9999999999999999,0.9949000000000001,2.25472425179694e-10
12.0,0.45,0.2245835585564247,35.0,1.0,1.0,0.422,0.7998912755103705,0.9999999999999999,0.9999999999999999,0.9916,1.9528022935341222e-8
12.0,0.45,0.2245835585564247,40.0,1.0,1.0,0.422,0.7998912755103705,0.9999949999999999,0.9999999999999999,0.9830000000000001,5.502180722942251e-7
12.0,0.45,0.2245835585564247,45.0,1.0,1.0,0.422,0.7998912755103705,0.9999844444444443,0.9999999999999999,0.9682,7.359227860515184e-6
12.0,0.45,0.2245835585564247,50.0,1.0,1.0,0.422,0.7998912755103705,0.999986,0.9999999999999999,0.9579,5.829796445642621e-5
12.0,0.45,0.2245835585564247,55.0,1.0,1.0,0.422,0.7998912755103705,0.9999763636363634,0.9999999999999999,0.9423999999999999,0.0003132208819694528
12.0,0.45,0.2245835585564247,60.0,1.0,1.0,0.422,0.7998912755103705,0.9999083333333334,0.9999999999999999,0.9151,0.0012656946976515805
12.0,0.45,0.2245835585564247,65.0,1.0,1.0,0.422,0.7998912755103705,0.9998492307692308,0.9999999999999999,0.8865999999999999,0.0041536763219150626
12.0,0.45,0.2245835585564247,70.0,1.0,1.0,0.422,0.7998912755103705,0.9996914285714286,0.9999999999999999,0.8532,0.01133945690653888
12.0,0.45,0.2245835585564247,75.0,1.0,1.0,0.422,0.7998912755103705,0.9989986666666666,0.9999999999999999,0.8016,0.02680680461410156
12.0,0.45,0.2245835585564247,80.0,1.0,1.0,0.422,0.7998912755103705,0.998415,0.9999999999999999,0.7363,0.05725720536864615
12.0,0.45,0.2245835585564247,85.0,1.0,1.0,0.422,0.7998912755103705,0.9926776470588234,0.9999999999999999,0.6699000000000002,0.10951805781874108
12.0,0.45,0.2245835585564247,90.0,1.0,1.0,0.422,0.7998912755103705,0.971168888888889,0.9999999999999999,0.593,0.19276528442050267
12.0,0.45,0.2245835585564247,95.0,1.0,1.0,0.422,0.7998912755103705,0.9168431578947368,0.9999999999999999,0.5185,0.3203316859704559
12.0,0.45,0.2245835585564247,100.0,1.0,1.0,0.422,0.7998912755103705,0.33171399999999995,0.9999999999999999,0.4220000000000001,0.4771156253866551
12.0,0.5,0.2245835585564247,5.0,1.0,1.0,0.475,0.8118154502098115,0.9999999999999999,0.9999999999999999,0.9999999999999999,2.541878096253819e-78
